player_temp,player_temp_adj,web_scraped_team,player_team
Aaron VandenBerg,Aaron vandenBerg,MELB,Melbourne
Aaron vandenBerg,Aaron vandenBerg,MELB,Melbourne
Alexander Johnson,Alex Johnson,SYD,Sydney
Alexander Keath,Alex Keath,ADEL,Adelaide
Anthony Mcd-Tipungwuti,Anthony McDonald-Tipungwuti,ESS,Essendon
Brad Hill,Bradley Hill,STK,St Kilda
Bradley Dalziell,Bradd Dalziell,BL,Brisbane Lions
Bradley Dalziell,Bradd Dalziell,WCE,West Coast
Bradley Dick,Brad Dick,COLL,Collingwood
Bradley Fisher,Brad Fisher,CARL,Carlton
Bradley Johnson,Brad Johnson,WB,Western Bulldogs
Bradley Moran,Brad Moran,ADEL,Adelaide
Bradley Ottens,Brad Ottens,GEEL,Geelong
Bradley Symes,Brad Symes,ADEL,Adelaide
Brendon Ah Chee,Brendon AhChee,PORT,Port Adelaide
Brendon Ah Chee,Brendon AhChee,WCE,West Coast
Brent MacAffer,Brent Macaffer,COLL,Collingwood
Broody Mihocek,Brody Mihocek,COLL,Collingwood
Cam Ellis-Yolmen,Cameron Ellis-Yolmen,ADEL,Adelaide
Cam Ellis Yolmen,Cameron Ellis-Yolmen,ADEL,Adelaide
Cam Guthrie,Cameron Guthrie,GEEL,Geelong
Callum Ah Chee,Callum AhChee,BL,Brisbane Lions
Callum Ah Chee,Callum AhChee,GCFC,Gold Coast
Callum L Brown,Callum Brown,COLL,Collingwood
Cameron McCarthy,Cam McCarthy,FRE,Fremantle
Cameron McCarthy,Cam McCarthy,GWS,Greater Western Sydney
Christopher Bryan,Chris Bryan,COLL,Collingwood
Christopher Johnson,Chris Johnson,MELB,Melbourne
Christopher Tarrant,Chris Tarrant,COLL,Collingwood
Christopher Tarrant,Chris Tarrant,FRE,Fremantle
Clinton Bartram,Clint Bartram,MELB,Melbourne
Clinton Bizzell,Clint Bizzell,MELB,Melbourne
Daniel Jacobs,Danny Jacobs,HAW,Hawthorn
Daniel Stanley,Danny Stanley,GCFC,Gold Coast
Darcy Byrne Jones,Darcy Byrne-Jones,PORT,Port Adelaide
Darcy Macpherson,Darcy MacPherson,GCFC,Gold Coast
David MacKay,David Mackay,ADEL,Adelaide
David Cunningham,David Cuningham,CARL,Carlton
Desmond Headland,Des Headland,FRE,Fremantle
Dom Cassisi,Domenic Cassisi,PORT,Port Adelaide
Edward Barlow,Ed Barlow,WB,Western Bulldogs
Edward Curnow,Ed Curnow,CARL,Carlton
Edward Sansbury,Eddie Sansbury,NMFC,North Melbourne
Gregory Tivendale,Greg Tivendale,RICH,Richmond
Harrison McKay,Harry McKay,CARL,Carlton
Jaegar O'Meara,Jaeger O'Meara,HAW,Hawthorn
James Bartel,Jimmy Bartel,GEEL,Geelong
Jamie MacMillan,Jamie Macmillan,NMFC,North Melbourne
Jamie Elliot,Jamie Elliott,COLL,Collingwood
Jarrod Moore,Jarred Moore,SYD,Sydney
Jay Kennedy-Harris,Jay Kennedy Harris,MELB,Melbourne
Jeffrey Farmer,Jeff Farmer,FRE,Fremantle
Jeffrey White,Jeff White,MELB,Melbourne
Joel MacDonald,Joel Macdonald,BL,Brisbane Lions
Josh J Kennedy,Josh J. Kennedy,WCE,West Coast
Josh Kennedy,Josh P. Kennedy,SYD,Sydney
Josh Kennedy (SYD),Josh P. Kennedy,SYD,Sydney
Josh KKennedy,Josh P. Kennedy,SYD,Sydney
Joshua Carr,Josh Carr,FRE,Fremantle
Lachlan Stroll,Lachlan Sholl,ADEL,Adelaide
Mack Macrae,Jack Macrae,WB,Western Bulldogs
Malcolm Michael,Mal Michael,ESS,Essendon
Mark Lecras,Mark LeCras,WCE,West Coast
Matt De Boer,Matt de Boer,FRE,Fremantle
Matt De Boer,Matt de Boer,GWS,Greater Western Sydney
Matt Kennedy,Matthew Kennedy,CARL,Carlton
Matthew Campbell,Matt Campbell,NMFC,North Melbourne
Matthew Jones,Matt Jones,MELB,Melbourne
Matthew Maguire,Matt Maguire,BL,Brisbane Lions
Matthew Thomas,Matt Thomas,PORT,Port Adelaide
Matthew Thomas,Matt Thomas,RICH,Richmond
Matthew White,Matt White,PORT,Port Adelaide
Matthew White,Matt White,RICH,Richmond
Michael Pyke,Mike Pyke,SYD,Sydney
Mitch W Brown,Mitch Brown,MELB,Melbourne
Mitchell Brown,Mitch Brown,WCE,West Coast
Mitchell Georgiades,Mitch Georgiades,PORT,Port Adelaide
Mitchell Hahn,Mitch Hahn,WB,Western Bulldogs
Nathan Van Berlo,Nathan vanBerlo,ADEL,Adelaide
Nicholas Duigan,Nick Duigan,CARL,Carlton
Nicholas Fosdike,Nic Fosdike,SYD,Sydney
Nicholas Gill,Nick Gill,ADEL,Adelaide
Nicholas Stevens,Nick Stevens,CARL,Carlton
Nick Dal Santo,Nick DalSanto,NMFC,North Melbourne
Nick Dal Santo,Nick DalSanto,STK,St Kilda
Nick O'Brien,Nick OBrien,ESS,Essendon
Sam Reid,Sam J. Reid,GWS,Greater Western Sydney
Samuel Iles,Sam Iles,GCFC,Gold Coast
Samuel Power,Sam Power,NMFC,North Melbourne
Samuel Power,Sam Power,WB,Western Bulldogs
Samuel Sheldon,Sam Sheldon,BL,Brisbane Lions
Samuel Walsh,Sam Walsh,CARL,Carlton
Sebastian Tape,Seb Tape,GCFC,Gold Coast
Seb Ross,Sebastian Ross,STK,St Kilda
Thomas Boyd,Tom Boyd,WB,Western Bulldogs
Thomas Logan,Tom Logan,PORT,Port Adelaide
Thomas Swift,Tom Swift,WCE,West Coast
Thomas Williams,Tom Williams,WB,Western Bulldogs
Timothy Boyle,Tim Boyle,HAW,Hawthorn
Timothy Clarke,Tim Clarke,HAW,Hawthorn
Timothy Houlihan,Tim Houlihan,WCE,West Coast
Timothy Notting,Tim Notting,BL,Brisbane Lions
Tom J Lynch,Tom J. Lynch,GCFC,Gold Coast
Tom J Lynch,Tom J. Lynch,RICH,Richmond
William Thursfield,Will Thursfield,RICH,Richmond
Zac Butters,Zak Butters,PORT,Port Adelaide
Zac Jones,Zak Jones,STK,St Kilda
Touk Miler,Touk Miller,GCFC,Gold Coast
Jaeger O'Maera,Jaeger O'Meara,HAW,Hawthorn
Bailey Fritsch,Bayley Fritsch,MELB,Melbourne
Alir Alir,Aliir Aliir,PORT,Port Adelaide
Allir Allir,Aliir Aliir,PORT,Port Adelaide
Reilly O’Brien,Reilly O'Brien,ADEL,Adelaide
Reilly Thilthorpe,Riley Thilthorpe,ADEL,Adelaide
Lachie Wellar,Lachie Weller,GCFC,Gold Coast
Brendan Parfitt,Brandan Parfitt,GEEL,Geelong
Jaeger O’Meara,Jaeger O'Meara,HAW,Hawthorn
Will Hoskin Elliott,Will Hoskin-Elliott,COLL,Collingwood
Will Powell,Wil Powell,GCFC,Gold Coast
