ID,Factor,Response,InputFactor,Monotone,Key,Type
1,Date,N,N,0,N,Factor
2,Season,N,N,0,N,Factor
3,Round,N,N,0,N,Factor
4,Venue,N,N,0,N,Factor
5,Player,N,N,0,N,Factor
6,Team,N,N,0,N,Factor
7,Opposition,N,N,0,N,Factor
8,Status,N,N,0,N,Factor
9,Match_id,N,N,0,N,Numeric
10,Contested_possessions,N,Y,0,N,Numeric
11,Uncontested_possessions,N,Y,0,N,Numeric
12,Effective_disposals,N,Y,0,N,Numeric
13,Disposal_efficiency,N,Y,0,N,Numeric
14,Contested_marks,N,Y,0,N,Numeric
15,Goal_assists,N,Y,0,N,Numeric
16,Marks_inside_50,N,Y,0,N,Numeric
17,One_percenters,N,Y,0,N,Numeric
18,Bounces,N,Y,0,N,Numeric
19,Time_on_ground,N,Y,0,N,Numeric
20,Kicks,N,Y,0,N,Numeric
21,Handballs,N,Y,0,N,Numeric
22,Disposals,N,Y,0,N,Numeric
23,Marks,N,Y,0,N,Numeric
24,Goals,N,Y,0,N,Numeric
25,Behinds,N,Y,0,N,Numeric
26,Tackles,N,Y,0,N,Numeric
27,Hitouts,N,Y,0,N,Numeric
28,Inside_50s,N,Y,0,N,Numeric
29,Clearances,N,Y,0,N,Numeric
30,Clangers,N,Y,0,N,Numeric
31,Rebound_50s,N,Y,0,N,Numeric
32,Frees_for,N,Y,0,N,Numeric
33,Frees_against,N,Y,0,N,Numeric
34,AF,N,Y,0,N,Numeric
35,SC,N,Y,0,N,Numeric
36,Centre_clearances,N,Y,0,N,Numeric
37,Stoppage_clearances,N,Y,0,N,Numeric
38,Score_involvements,N,Y,0,N,Numeric
39,Metres_gained,N,Y,0,N,Numeric
40,Turnovers,N,Y,0,N,Numeric
41,Intercepts,N,Y,0,N,Numeric
42,Tackles_inside_50,N,Y,0,N,Numeric
43,Round_type,N,N,0,N,Factor
44,Margin,N,Y,0,N,Numeric
45,Team_behinds,N,Y,0,N,Numeric
46,Team_goals,N,Y,0,N,Numeric
47,Team_points,N,Y,0,N,Numeric
48,Outcome,N,Y,0,N,Factor
49,Num_Votes,Y,N,0,N,Numeric
50,Position,N,Y,0,N,Factor
51,DOB,N,N,0,N,Factor
52,AA_team,N,Y,0,N,Factor
53,AA_squad,N,Y,0,N,Factor
54,AFL_player_top_50_rank,N,Y,-1,N,Numeric
55,AFL_player_top_50_flag,N,Y,0,N,Factor
56,Prev_season_team_BR_rank,N,Y,-1,N,Numeric
57,Prev_season_BR_rank,N,Y,-1,N,Numeric
58,Prev_season_top_5_BR_rank,N,Y,0,N,Factor
59,Prev_season_top_10_BR_rank,N,Y,0,N,Factor
60,Prev_season_top_20_BR_rank,N,Y,0,N,Factor
61,Prev_season_top_30_BR_rank,N,Y,0,N,Factor
62,Prev_season_top_50_BR_rank,N,Y,0,N,Factor
63,Player_age,N,Y,0,N,Numeric
64,Prev_season_AA_team,N,Y,0,N,Factor
65,Prev_season_AA_squad,N,Y,0,N,Factor
66,Prev_season_AFL_player_top_50_flag,N,Y,0,N,Factor
67,Prev_season_AFL_player_top_50_rank,N,Y,-1,N,Numeric
68,Match_SC_rank,N,Y,-1,N,Numeric
69,Team_SC_rank,N,Y,-1,N,Numeric
70,Season_SC_rank,N,Y,-1,N,Numeric
71,Match_AF_rank,N,Y,-1,N,Numeric
72,Team_AF_rank,N,Y,-1,N,Numeric
73,Season_AF_rank,N,Y,-1,N,Numeric
74,Match_CP_rank,N,Y,-1,N,Numeric
75,Team_CP_rank,N,Y,-1,N,Numeric
76,Season_CP_rank,N,Y,-1,N,Numeric
77,Match_UP_rank,N,Y,-1,N,Numeric
78,Team_UP_rank,N,Y,-1,N,Numeric
79,Season_UP_rank,N,Y,-1,N,Numeric
80,Match_D_rank,N,Y,-1,N,Numeric
81,Team_D_rank,N,Y,-1,N,Numeric
82,Season_D_rank,N,Y,-1,N,Numeric
83,Match_ED_rank,N,Y,-1,N,Numeric
84,Team_ED_rank,N,Y,-1,N,Numeric
85,Season_ED_rank,N,Y,-1,N,Numeric
86,Match_K_rank,N,Y,-1,N,Numeric
87,Team_K_rank,N,Y,-1,N,Numeric
88,Season_K_rank,N,Y,-1,N,Numeric
89,Match_H_rank,N,Y,-1,N,Numeric
90,Team_H_rank,N,Y,-1,N,Numeric
91,Season_H_rank,N,Y,-1,N,Numeric
92,Match_M_rank,N,Y,-1,N,Numeric
93,Team_M_rank,N,Y,-1,N,Numeric
94,Season_M_rank,N,Y,-1,N,Numeric
95,Match_G_rank,N,Y,-1,N,Numeric
96,Team_G_rank,N,Y,-1,N,Numeric
97,Season_G_rank,N,Y,-1,N,Numeric
98,Prop_goals,N,Y,1,N,Numeric
99,Player_id,N,N,0,N,Factor
100,First_season,N,N,0,N,Numeric
101,Num_seasons,N,N,1,N,Numeric
102,Prev_season_more_than_5_BR,N,Y,0,N,Factor
103,Prev_season_more_than_10_BR,N,Y,0,N,Factor
104,Prev_season_more_than_15_BR,N,Y,0,N,Factor
105,Prev_season_more_than_20_BR,N,Y,0,N,Factor
106,Games_played,N,N,0,N,Numeric
107,Games_polled,N,N,0,N,Numeric
108,Total_Votes,N,N,0,N,Numeric
109,Num_AA_team,N,N,1,N,Numeric
110,Num_AA_squad,N,N,1,N,Numeric
111,Num_AFL_top_50,N,N,1,N,Numeric
112,Avg_AA_team,N,Y,1,N,Numeric
113,Avg_AA_squad,N,Y,1,N,Numeric
114,Num_season_more_than_5_BR,N,N,1,N,Numeric
115,Num_season_more_than_10_BR,N,N,1,N,Numeric
116,Num_season_more_than_15_BR,N,N,1,N,Numeric
117,Num_season_more_than_20_BR,N,N,1,N,Numeric
118,Total_Votes_since_2012,N,N,0,N,Numeric
119,Avg_games_polled,N,N,0,N,Numeric
120,Num_season_since_2014,N,N,0,N,Numeric
121,Avg_AFL_top_50,N,Y,1,N,Numeric
122,Prev_season_avg_games_polled,N,Y,1,N,Numeric
123,Prev_season_total_votes_since_2012,N,N,0,N,Numeric
124,Prev_season_avg_votes_per_seasons_since_2012,N,Y,1,N,Numeric
125,Prev_season_total_BR_votes,N,Y,1,N,Numeric
126,Record_id,N,N,0,Y,Factor
